x y z
0 -8 1845.349136
0 -7.9 1843.532494
0 -7.8 1841.716011
0 -7.7 1839.89847
0 -7.6 1838.078632
0 -7.5 1836.255233
0 -7.4 1834.426974
0 -7.3 1832.592512
0 -7.2 1830.750457
0 -7.1 1828.899359
0 -7 1827.037699
0 -6.9 1825.163878
0 -6.8 1823.276207
0 -6.7 1821.372889
0 -6.6 1819.452011
0 -6.5 1817.511515
0 -6.4 1815.549191
0 -6.3 1813.562644
0 -6.2 1811.549272
0 -6.1 1809.506232
0 -6 1807.430409
0 -5.9 1805.318365
0 -5.8 1803.166297
0 -5.7 1800.969972
0 -5.6 1798.724657
0 -5.5 1796.425031
0 -5.4 1794.065086
0 -5.3 1791.637997
0 -5.2 1789.135967
0 -5.1 1786.550043
0 -5 1783.869874
0 -4.9 1781.083427
0 -4.8 1778.176616
0 -4.7 1775.132844
0 -4.6 1771.93242
0 -4.5 1768.551819
0 -4.4 1764.962735
0 -4.3 1761.130881
0 -4.2 1757.014451
0 -4.1 1752.562196
0 -4 1747.711032
0 -3.9 1742.383201
0 -3.8 1736.483086
0 -3.7 1729.894133
0 -3.6 1722.476778
0 -3.5 1714.069094
0 -3.4 1704.492598
0 -3.3 1693.565592
0 -3.2 1681.124232
0 -3.1 1667.046573
0 -3 1651.27002
0 -2.9 1633.79319
0 -2.8 1614.661213
0 -2.7 1593.942407
0 -2.6 1571.70642
0 -2.5 1548.009581
0 -2.4 1522.887839
0 -2.3 1496.354991
0 -2.2 1468.403646
0 -2.1 1439.007151
0 -2 1408.121525
0 -1.9 1375.686996
0 -1.8 1341.629026
0 -1.7 1305.858845
0 -1.6 1268.273536
0 -1.5 1228.755747
0 -1.4 1187.173037
0 -1.3 1143.376861
0 -1.2 1097.201084
0 -1.1 1048.459797
0 -1 996.9439171
0 -0.9 942.4155464
0 -0.8 884.5979392
0 -0.7 823.1566532
0 -0.6 757.6622436
0 -0.5 687.5122411
0 -0.4 611.7558584
0 -0.3 528.6557273
0 -0.2 434.3882672
0 -0.1 319.0664993
0 0 249.2421725
0 0.1 225.7530802
0 0.2 211.6030912
0 0.3 200.8233315
0 0.4 191.7146127
0 0.5 183.531445
0 0.6 175.8907668
0 0.7 168.5853493
0 0.8 161.5042314
0 0.9 154.5928745
0 1 147.831058
0 1.1 141.2197993
0 1.2 134.7732452
0 1.3 128.513393
0 1.4 122.4663848
0 1.5 116.6595995
0 1.6 111.1190936
0 1.7 105.8672263
0 1.8 100.920563
0 1.9 96.28832617
0 2 91.97168436
0 2.1 87.96402217
0 2.2 84.25208507
0 2.3 80.81768492
0 2.4 77.63957431
0 2.5 74.69516124
0 2.6 71.961871
0 2.7 69.4180987
0 2.8 67.04378814
0 2.9 64.82071667
0 3 62.73257311
0 3.1 60.76490376
0 3.2 58.9049837
0 3.3 57.1416526
0 3.4 55.46514019
0 3.5 53.86689623
0 3.6 52.33943292
0 3.7 50.87618325
0 3.8 49.47137607
0 3.9 48.11992753
0 4 46.8173473
0 4.1 45.55965821
0 4.2 44.34332736
0 4.3 43.16520735
0 4.4 42.02248606
0 4.5 40.9126437
0 4.6 39.83341612
0 4.7 38.78276328
0 4.8 37.75884228
0 4.9 36.75998408
0 5 35.78467347
0 5.1 34.83153173
0 5.2 33.89930167
0 5.3 32.98683459
0 5.4 32.09307902
0 5.5 31.21707083
0 5.6 30.35792474
0 5.7 29.5148268
0 5.8 28.68702798
0 5.9 27.87383848
0 6 27.07462295
0 6.1 26.28879629
0 6.2 25.51582022
0 6.3 24.75520035
0 6.4 24.00648402
0 6.5 23.26925863
0 6.6 22.54315073
0 6.7 21.82782592
0 6.8 21.12298951
0 6.9 20.42838849
0 7 19.74381472
0 7.1 19.06911014
0 7.2 18.40417432
0 7.3 17.74897546
0 7.4 17.10356586
0 7.5 16.46810349
0 7.6 15.84288137
0 7.7 15.22836577
0 7.8 14.62524193
0 7.9 14.03445754
0 8 13.45723653
0.1 -8 1745.350187
0.1 -7.9 1743.533564
0.1 -7.8 1741.7171
0.1 -7.7 1739.899578
0.1 -7.6 1738.079761
0.1 -7.5 1736.256384
0.1 -7.4 1734.428148
0.1 -7.3 1732.59371
0.1 -7.2 1730.751681
0.1 -7.1 1728.900609
0.1 -7 1727.038977
0.1 -6.9 1725.165187
0.1 -6.8 1723.277547
0.1 -6.7 1721.374263
0.1 -6.6 1719.45342
0.1 -6.5 1717.512963
0.1 -6.4 1715.550679
0.1 -6.3 1713.564176
0.1 -6.2 1711.55085
0.1 -6.1 1709.50786
0.1 -6 1707.43209
0.1 -5.9 1705.320104
0.1 -5.8 1703.168099
0.1 -5.7 1700.971842
0.1 -5.6 1698.7266
