# assembled channel, EIS record-start sweep, nominal castalia_typ_25 at 37 C, N = 0
# simruns/eisdeep_20260826/settle via simruns/eisfigs2_20260826/data/fig4c_set_c330n_f10k.dat
t excess
0.0000 5.73481
0.3061 4.29284
0.6121 3.20122
0.9182 2.38034
1.2242 1.76615
1.5303 1.30833
1.8364 0.96802
2.1424 0.715593
2.4485 0.528642
2.7545 0.390342
3.0606 0.28812
3.3667 0.21261
3.6727 0.156859
3.9788 0.115711
4.2848 0.085347
4.5909 0.062946
4.8970 0.046422
5.2030 0.034235
5.5091 0.025246
5.8152 0.018617
6.1212 0.013728
6.4273 0.010123
6.7333 0.007465
7.0394 0.005504
7.3455 0.004059
