# assembled channel, EIS record-start sweep, nominal castalia_typ_25 at 37 C, N = 0
# simruns/eisdeep_20260826/settle via simruns/eisfigs2_20260826/data/fig4b_exp.dat
t y
0.0000 1
0.0500 0.951229
0.1000 0.904837
0.1500 0.860708
0.2000 0.818731
0.2500 0.778801
0.3000 0.740818
0.3500 0.704688
0.4000 0.67032
0.4500 0.637628
0.5000 0.606531
0.5500 0.57695
0.6000 0.548812
0.6500 0.522046
0.7000 0.496585
0.7500 0.472367
0.8000 0.449329
0.8500 0.427415
0.9000 0.40657
0.9500 0.386741
1.0000 0.367879
1.0500 0.349938
1.1000 0.332871
1.1500 0.316637
1.2000 0.301194
1.2500 0.286505
1.3000 0.272532
1.3500 0.25924
1.4000 0.246597
1.4500 0.23457
1.5000 0.22313
1.5500 0.212248
1.6000 0.201897
1.6500 0.19205
1.7000 0.182684
1.7500 0.173774
1.8000 0.165299
1.8500 0.157237
1.9000 0.149569
1.9500 0.142274
2.0000 0.135335
2.0500 0.128735
2.1000 0.122456
2.1500 0.116484
2.2000 0.110803
2.2500 0.105399
2.3000 0.100259
2.3500 0.0953692
2.4000 0.090718
2.4500 0.0862936
2.5000 0.082085
2.5500 0.0780817
2.6000 0.0742736
2.6500 0.0706512
2.7000 0.0672055
2.7500 0.0639279
2.8000 0.0608101
2.8500 0.0578443
2.9000 0.0550232
2.9500 0.0523397
3.0000 0.0497871
3.0500 0.0473589
3.1000 0.0450492
3.1500 0.0428521
3.2000 0.0407622
3.2500 0.0387742
3.3000 0.0368832
3.3500 0.0350844
3.4000 0.0333733
3.4500 0.0317456
3.5000 0.0301974
3.5500 0.0287246
3.6000 0.0273237
3.6500 0.0259911
3.7000 0.0247235
3.7500 0.0235177
3.8000 0.0223708
3.8500 0.0212797
3.9000 0.0202419
3.9500 0.0192547
4.0000 0.0183156
4.0500 0.0174224
4.1000 0.0165727
4.1500 0.0157644
4.2000 0.0149956
4.2500 0.0142642
4.3000 0.0135686
4.3500 0.0129068
4.4000 0.0122773
4.4500 0.0116786
4.5000 0.011109
4.5500 0.0105672
4.6000 0.0100518
4.6500 0.0095616
4.7000 0.00909528
4.7500 0.0086517
4.8000 0.00822975
4.8500 0.00782838
4.9000 0.00744658
4.9500 0.00708341
5.0000 0.00673795
5.0500 0.00640933
5.1000 0.00609675
5.1500 0.0057994
5.2000 0.00551656
5.2500 0.00524752
5.3000 0.00499159
5.3500 0.00474815
5.4000 0.00451658
5.4500 0.0042963
5.5000 0.00408677
5.5500 0.00388746
5.6000 0.00369786
5.6500 0.00351752
5.7000 0.00334597
5.7500 0.00318278
5.8000 0.00302755
5.8500 0.0028799
5.9000 0.00273944
5.9500 0.00260584
6.0000 0.00247875
6.0500 0.00235786
6.1000 0.00224287
6.1500 0.00213348
6.2000 0.00202943
6.2500 0.00193045
6.3000 0.0018363
6.3500 0.00174675
6.4000 0.00166156
6.4500 0.00158052
6.5000 0.00150344
6.5500 0.00143012
6.6000 0.00136037
6.6500 0.00129402
6.7000 0.00123091
6.7500 0.00117088
6.8000 0.00111378
6.8500 0.00105946
6.9000 0.00100779
6.9500 0.000958635
7.0000 0.000911882
7.0500 0.000867409
7.1000 0.000825105
7.1500 0.000784864
7.2000 0.000746586
7.2500 0.000710174
7.3000 0.000675539
7.3500 0.000642592
7.4000 0.000611253
7.4500 0.000581442
7.5000 0.000553084
7.5500 0.00052611
7.6000 0.000500451
7.6500 0.000476044
7.7000 0.000452827
7.7500 0.000430743
7.8000 0.000409735
7.8500 0.000389752
7.9000 0.000370744
7.9500 0.000352662
8.0000 0.000335463
8.0500 0.000319102
8.1000 0.000303539
8.1500 0.000288735
8.2000 0.000274654
