# assembled channel, EIS architecture A, nominal castalia_typ_25 at 37 C
# simruns/eisdeep_20260826/ac_dense via simruns/eisfigs2_20260826/data/fig1_fouled_true.dat
x y
10999.61 62.82937
10999.5 70.495
10999.37 79.09567
10999.21 88.74536
10999.01 99.5719
10998.75 111.7186
10998.43 125.3463
10998.02 140.6352
10997.51 157.7872
10996.87 177.0287
10996.05 198.6134
10995.03 222.8251
10993.75 249.9817
10992.13 280.4387
10990.09 314.5933
10987.53 352.8889
10984.31 395.8201
10980.25 443.9371
10975.15 497.851
10968.74 558.2389
10960.68 625.8478
10950.55 701.4985
10937.82 786.0877
10921.85 880.5871
10901.81 986.0397
10876.7 1103.549
10845.27 1234.262
10805.98 1379.338
10756.96 1539.907
10695.95 1716.999
10620.21 1911.456
10526.53 2123.804
10411.15 2354.088
10269.82 2601.663
10097.81 2864.949
9890.14 3141.148
9641.799 3425.974
9348.215 3713.415
9005.816 3995.632
8612.736 4263.052
8169.568 4504.772
7680.01 4709.306
7151.231 4865.662
6593.786 4964.617
6020.955 4999.956
5447.573 4969.389
4888.533 4874.899
4357.273 4722.441
3864.575 4521.057
3417.864 4281.655
3021.083 4015.726
2675.031 3734.244
2377.997 3446.897
2126.509 3161.656
1916.042 2884.664
1741.61 2620.328
1598.206 2371.542
1481.091 2139.968
1385.963 1926.309
1309.035 1730.562
1247.045 1552.231
1197.237 1390.492
1157.309 1244.325
1125.361 1112.606
1099.835 994.1744
1079.465 887.882
1063.225 792.6211
1050.286 707.3441
1039.985 631.0737
1031.788 562.908
1025.266 502.0205
1020.08 447.6589
1015.957 399.1412
1012.679 355.8518
1010.074 317.236
1008.004 282.7954
1006.359 252.0832
1005.052 224.6988
1004.013 200.2838
1003.188 178.5179
1002.532 159.1146
1002.012 141.8185
1001.598 126.4011
1001.269 112.6588
1001.008 100.4099
1000.801 89.49223
1000.636 79.76135
1000.505 71.08831
1000.401 63.35818
1000.319 56.4685
1000.253 50.32794
1000.201 44.85505
1000.16 39.97728
1000.127 35.6299
1000.101 31.75527
1000.08 28.30197
1000.064 25.2242
1000.051 22.48112
1000.04 20.03634
1000.032 17.85742
1000.025 15.91545
1000.02 14.18467
1000.016 12.64211
1000.013 11.26729
1000.01 10.04199
1000.008 8.949933
1000.006 7.976637
1000.005 7.109187
1000.004 6.33607
1000.003 5.647029
1000.003 5.03292
1000.002 4.485595
1000.002 3.997791
1000.001 3.563035
1000.001 3.183099
1000.001 3.175558
1000.001 2.830219
1000.001 2.522436
1000.001 2.248123
1000 2.003642
1000 1.785748
1000 1.591549
1000 1.41847
1000 1.264213
1000 1.126731
1000 1.0042
1000 0.894994
1000 0.7976643
1000 0.7957747
1000 0.710919
1000 0.6336072
1000 0.564703
1000 0.5032921
1000 0.4485596
1000 0.3997791
1000 0.3563035
1000 0.3175559
1000 0.283022
1000 0.2522436
1000 0.2248123
1000 0.2003642
1000 0.1785748
1000 0.1591549
