# assembled channel, EIS architecture A, nominal castalia_typ_25 at 37 C
# simruns/eisdeep_20260826/ac_dense via simruns/eisfigs2_20260826/data/fig1_fresh_true.dat
x y
1000961 6282.937
1000950 7049.499
1000937 7909.567
1000921 8874.536
1000901 9957.19
1000875 11171.86
1000843 12534.63
1000802 14063.52
1000751 15778.72
1000687 17702.87
1000605 19861.34
1000503 22282.51
1000375 24998.17
1000213 28043.87
1000009 31459.33
999753.1 35288.89
999430.8 39582.01
999025.3 44393.71
998515.3 49785.1
997873.9 55823.89
997067.7 62584.78
996054.5 70149.85
994782 78608.77
993184.6 88058.71
991180.8 98603.97
988669.8 110354.9
985526.5 123426.2
981597.8 137933.8
976696.2 153990.7
970594.7 171699.9
963020.9 191145.6
953652.8 212380.4
942115.3 235408.8
927981.8 260166.3
910781.3 286494.9
890014 314114.8
865179.9 342597.4
835821.5 371341.5
801581.6 399563.2
762273.6 426305.2
717956.8 450477.2
669001 470930.6
616123.1 486566.2
560378.6 496461.7
503095.5 499995.6
445757.3 496938.9
389853.3 487489.9
336727.3 472244.1
287457.5 452105.7
242786.4 428165.5
203108.3 401572.6
168503.1 373424.4
138799.7 344689.7
113650.9 316165.6
92604.2 288466.4
75161.02 262032.8
60820.63 237154.2
49109.12 213996.8
39596.33 192630.9
31903.47 173056.2
25704.52 155223.1
20723.72 139049.2
16730.92 124432.5
13536.07 111260.6
10983.5 99417.44
8946.49 88788.2
7322.455 79262.11
6028.643 70734.41
4998.529 63107.37
4178.759 56290.8
3526.63 50202.05
3008.017 44765.89
2595.683 39914.12
2267.912 35585.18
2007.401 31723.6
1800.373 28279.54
1635.864 25208.32
1505.151 22469.88
1401.297 20028.38
1318.788 17851.79
1253.239 15911.46
1201.165 14181.85
1159.798 12640.11
1126.936 11265.88
1100.832 10040.99
1080.095 8949.223
1063.623 7976.135
1050.538 7108.831
1040.144 6335.818
1031.888 5646.85
1025.33 5032.794
1020.12 4485.505
1015.982 3997.728
1012.695 3562.99
1010.084 3175.527
1008.01 2830.197
1006.363 2522.42
1005.054 2248.112
1004.015 2003.634
1003.189 1785.742
1002.533 1591.545
1002.012 1418.467
1001.598 1264.211
1001.27 1126.729
1001.008 1004.199
1000.801 894.9933
1000.636 797.6637
1000.505 710.9187
1000.401 633.607
1000.319 564.7029
1000.253 503.292
1000.201 448.5595
1000.16 399.7791
1000.127 356.3035
1000.101 318.3099
1000.101 317.5558
1000.08 283.0219
1000.064 252.2436
1000.051 224.8123
1000.04 200.3642
1000.032 178.5748
1000.025 159.1549
1000.02 141.847
1000.016 126.4213
1000.013 112.6731
1000.01 100.42
1000.008 89.4994
1000.006 79.76643
1000.006 79.57747
1000.005 71.0919
1000.004 63.36072
1000.003 56.4703
1000.003 50.32921
1000.002 44.85596
1000.002 39.97791
1000.001 35.63035
1000.001 31.75559
1000.001 28.3022
1000.001 25.22436
1000.001 22.48123
1000 20.03642
1000 17.85748
1000 15.91549
