# assembled channel, EIS record-start sweep, nominal castalia_typ_25 at 37 C, N = 0
# simruns/eisdeep_20260826/settle via simruns/eisfigs2_20260826/data/fig4a_set_c1u_f10k.dat
t err
0.0000 -1.94347
0.1010 -1.7297
0.2020 -1.53559
0.3030 -1.3594
0.4040 -1.19953
0.5050 -1.05451
0.6060 -0.923007
0.7070 -0.803783
0.8080 -0.69572
0.9090 -0.5978
1.0100 -0.509076
1.1110 -0.42871
1.2120 -0.355915
1.3130 -0.289992
1.4140 -0.2303
1.5150 -0.176256
1.6160 -0.127331
1.7170 -0.083044
1.8180 -0.042959
1.9190 -0.006681
2.0200 0.026151
2.1210 0.055861
2.2220 0.082745
2.3230 0.10707
2.4240 0.129079
2.5250 0.148991
2.6260 0.167006
2.7270 0.183304
2.8280 0.198048
2.9290 0.211386
3.0300 0.223451
3.1310 0.234365
3.2320 0.244237
3.3330 0.253167
3.4340 0.261244
3.5350 0.26855
3.6360 0.275158
3.7370 0.281135
3.8380 0.286541
3.9390 0.291431
4.0400 0.295854
4.1410 0.299854
4.2420 0.303471
4.3430 0.306743
4.4440 0.309703
4.5450 0.312379
4.6460 0.3148
4.7470 0.316989
4.8480 0.318969
4.9490 0.32076
5.0500 0.322379
5.1510 0.323844
5.2520 0.325169
5.3530 0.326367
5.4540 0.32745
5.5550 0.32843
5.6560 0.329317
5.7570 0.330118
5.8580 0.330843
5.9590 0.331499
6.0600 0.332091
6.1610 0.332628
6.2620 0.333113
6.3630 0.333551
6.4640 0.333948
6.5650 0.334307
6.6660 0.334631
6.7670 0.334924
6.8680 0.33519
6.9690 0.33543
