# assembled channel, EIS record-start sweep, nominal castalia_typ_25 at 37 C, N = 0
# simruns/eisdeep_20260826/settle via simruns/eisfigs2_20260826/data/fig4a_set_c330n_f10k.dat
t err
0.0000 -5.42845
0.3061 -3.98648
0.6121 -2.89486
0.9182 -2.07398
1.2242 -1.45979
1.5303 -1.00197
1.8364 -0.661663
2.1424 -0.409236
2.4485 -0.222285
2.7545 -0.083985
3.0606 0.018237
3.3667 0.093747
3.6727 0.149498
3.9788 0.190646
4.2848 0.22101
4.5909 0.243411
4.8970 0.259935
5.2030 0.272122
5.5091 0.281111
5.8152 0.28774
6.1212 0.292629
6.4273 0.296234
6.7333 0.298892
7.0394 0.300853
7.3455 0.302298
7.6515 0.303364
7.9576 0.30415
