# reverse branch, from /home/mseminario2/chips/castalia/simruns/pixtop2_cv/cv_pixtop.dat
# E[V]  i[uA]
0.499249 -4.016836
0.495586 -3.960276
0.491311 -3.907221
0.487646 -3.858223
0.483375 -3.809905
0.479100 -3.763085
0.475436 -3.719232
0.471162 -3.674282
0.467533 -3.632766
0.463256 -3.588579
0.459591 -3.547953
0.455316 -3.504186
0.451652 -3.464438
0.447379 -3.419496
0.443104 -3.374699
0.439439 -3.334137
0.435165 -3.285793
0.431500 -3.243411
0.427233 -3.190967
0.423569 -3.145499
0.419293 -3.086702
0.415629 -3.036900
0.411355 -2.969316
0.407083 -2.898539
0.403419 -2.839121
0.399146 -2.752116
0.395481 -2.682233
0.391206 -2.576763
0.387560 -2.494726
0.383285 -2.365981
0.379622 -2.267018
0.375346 -2.109833
0.371071 -1.937323
0.367410 -1.816466
0.363135 -1.605821
0.359473 -1.451807
0.355199 -1.198808
0.351534 -1.017745
0.347268 -0.721599
0.343604 -0.513375
0.339331 -0.169411
0.335667 0.075752
0.331392 0.441687
0.327122 0.817048
0.323458 1.069443
0.319185 1.491124
0.315522 1.771871
0.311326 2.173473
0.307660 2.438835
0.303385 2.874325
0.299721 3.140613
0.295446 3.528152
0.291174 3.888762
0.287508 4.081551
0.283234 4.393965
0.279570 4.518075
0.275295 4.788352
0.271639 4.850594
0.267363 5.046524
0.263698 5.070982
0.259424 5.179401
0.255149 5.212101
0.251488 5.113881
0.247213 5.123814
0.243548 4.987368
0.239274 4.942029
0.235610 4.787916
0.231352 4.705779
0.227686 4.542378
0.223412 4.440628
0.219135 4.317185
0.215471 4.155719
0.211199 4.033233
0.207534 3.879725
0.203260 3.764475
0.199595 3.632023
0.195320 3.513573
0.191664 3.385604
0.187389 3.282289
0.183115 3.178405
0.179451 3.069874
0.175175 2.975045
0.171514 2.876475
0.167239 2.792033
0.163576 2.706212
0.159301 2.626897
0.155637 2.547786
0.151400 2.477522
0.147124 2.409591
0.143460 2.341746
0.139184 2.282641
0.135523 2.219533
0.131247 2.163861
0.127582 2.108641
0.123308 2.057798
0.119644 2.007585
0.115377 1.961268
0.111712 1.915335
0.107436 1.872559
0.103162 1.831403
0.099498 1.791228
0.095227 1.753429
0.091562 1.716557
0.087287 1.681601
0.083624 1.647603
0.079349 1.615300
0.075704 1.583850
0.071428 1.553819
0.067154 1.524758
0.063489 1.496646
0.059214 1.469622
0.055553 1.443408
0.051278 1.418184
0.047615 1.393673
0.043339 1.370052
0.039675 1.347118
0.035409 1.324977
0.031134 1.303446
0.027470 1.282605
0.023196 1.262389
0.019531 1.242719
0.015260 1.223687
0.011595 1.205145
0.007322 1.187098
0.003658 1.169628
-0.000617 1.152602
-0.004584 1.136021
-0.008250 1.119992
-0.012526 1.104194
-0.016191 1.088965
-0.020464 1.073989
-0.024131 1.059443
-0.028407 1.045279
-0.032071 1.031417
-0.036347 1.017955
-0.040615 1.004724
-0.044281 0.992202
-0.048557 0.979366
-0.052221 0.967099
-0.056497 0.955084
-0.060158 0.943369
-0.064434 0.931929
-0.068100 0.920716
-0.072374 0.909715
-0.076649 0.899041
-0.080298 0.888555
-0.084575 0.878272
-0.088240 0.868367
-0.092515 0.858335
-0.096180 0.848710
-0.100453 0.839238
-0.104117 0.829987
-0.108391 0.820910
-0.112668 0.812021
-0.116332 0.803299
-0.120599 0.794752
-0.124264 0.786373
-0.128538 0.778073
-0.132204 0.770162
-0.136479 0.762130
-0.140140 0.754443
-0.144415 0.746684
-0.148078 0.739222
-0.152353 0.731857
-0.156629 0.724618
-0.160260 0.717494
-0.164536 0.710548
-0.168201 0.703702
-0.172476 0.696959
-0.176142 0.690386
-0.180414 0.683886
-0.184079 0.677529
-0.188353 0.671144
-0.192628 0.664957
-0.196285 0.658884
-0.200561 0.652881
-0.204226 0.646951
-0.208500 0.641197
-0.212165 0.635526
-0.216436 0.629911
-0.220101 0.624434
-0.224376 0.618959
-0.228650 0.613610
-0.232314 0.608357
-0.236571 0.603159
-0.240236 0.598002
-0.244512 0.593024
-0.248176 0.588092
-0.252451 0.583205
-0.256112 0.578408
-0.260387 0.573662
-0.264661 0.568985
-0.268326 0.564448
-0.272601 0.559868
-0.276257 0.555419
-0.280532 0.551011
-0.284195 0.546682
-0.288471 0.542388
-0.292135 0.538118
-0.296407 0.534024
-0.300682 0.529892
-0.304345 0.525883
-0.308620 0.521889
-0.312284 0.517948
-0.316486 0.514007
-0.320152 0.510248
-0.324427 0.506444
-0.328092 0.502677
-0.332368 0.499054
-0.336641 0.495399
-0.340306 0.491787
-0.344580 0.488312
-0.348245 0.484761
-0.352512 0.481380
-0.356178 0.477951
-0.360454 0.474615
-0.364118 0.471298
-0.368393 0.468028
-0.372053 0.464747
-0.376330 0.461594
-0.380605 0.458448
-0.384268 0.455342
-0.388543 0.452259
-0.392190 0.449209
-0.396466 0.446215
-0.400131 0.443240
-0.404406 0.440285
-0.408070 0.437432
-0.412342 0.434497
-0.416618 0.431735
-0.420282 0.428905
-0.424556 0.426162
-0.428220 0.423429
-0.432487 0.420686
-0.436152 0.418021
-0.440426 0.415442
-0.444091 0.412819
-0.448365 0.410256
-0.452637 0.407715
-0.456301 0.405202
-0.460575 0.402668
-0.464240 0.400202
-0.468514 0.397804
-0.472140 0.395390
-0.476417 0.393008
-0.480080 0.390663
-0.484356 0.388324
-0.488632 0.386012
-0.492294 0.383739
-0.496569 0.381480
-0.500233 0.379199
